musica,artista,album,data_lancamento
my mind is a mountain,Deftones,private music,2025-08-22
locked club,Deftones,private music,2025-08-22
ecdysis,Deftones,private music,2025-08-22
infinite source,Deftones,private music,2025-08-22
souvenir,Deftones,private music,2025-08-22
cXz,Deftones,private music,2025-08-22
i think about you all the time,Deftones,private music,2025-08-22
milk of the madonna,Deftones,private music,2025-08-22
cut hands,Deftones,private music,2025-08-22
~metal dream,Deftones,private music,2025-08-22
departing the body,Deftones,private music,2025-08-22
Feiticeira,Deftones,White Pony (20th Anniversary Deluxe Edition),2020-12-11
Digital Bath,Deftones,White Pony (20th Anniversary Deluxe Edition),2020-12-11
Elite,Deftones,White Pony (20th Anniversary Deluxe Edition),2020-12-11
Rx Queen,Deftones,White Pony (20th Anniversary Deluxe Edition),2020-12-11
Street Carp,Deftones,White Pony (20th Anniversary Deluxe Edition),2020-12-11
Teenager,Deftones,White Pony (20th Anniversary Deluxe Edition),2020-12-11
Knife Prty,Deftones,White Pony (20th Anniversary Deluxe Edition),2020-12-11
Korea,Deftones,White Pony (20th Anniversary Deluxe Edition),2020-12-11
Passenger,Deftones,White Pony (20th Anniversary Deluxe Edition),2020-12-11
Change (In the House of Flies),Deftones,White Pony (20th Anniversary Deluxe Edition),2020-12-11
Pink Maggit,Deftones,White Pony (20th Anniversary Deluxe Edition),2020-12-11
Feiticeira - Clams Casino Remix,Deftones,White Pony (20th Anniversary Deluxe Edition),2020-12-11
Digital Bath - DJ Shadow Remix,Deftones,White Pony (20th Anniversary Deluxe Edition),2020-12-11
Elite - Blanck Mass Remix,Deftones,White Pony (20th Anniversary Deluxe Edition),2020-12-11
Rx Queen - Salva Remix,Deftones,White Pony (20th Anniversary Deluxe Edition),2020-12-11
Street Carp - Phantogram Remix,Deftones,White Pony (20th Anniversary Deluxe Edition),2020-12-11
Teenager - Robert Smith Remix,Deftones,White Pony (20th Anniversary Deluxe Edition),2020-12-11
Knife Prty - Purity Ring Remix,Deftones,White Pony (20th Anniversary Deluxe Edition),2020-12-11
Korea - Trevor Jackson Remix,Deftones,White Pony (20th Anniversary Deluxe Edition),2020-12-11
Passenger - Mike Shinoda Remix,Deftones,White Pony (20th Anniversary Deluxe Edition),2020-12-11
Change (In The House Of Flies) - Tourist Remix,Deftones,White Pony (20th Anniversary Deluxe Edition),2020-12-11
Pink Maggit - Squarepusher Remix,Deftones,White Pony (20th Anniversary Deluxe Edition),2020-12-11
Genesis,Deftones,Ohms,2020-09-25
Ceremony,Deftones,Ohms,2020-09-25
Urantia,Deftones,Ohms,2020-09-25
Error,Deftones,Ohms,2020-09-25
The Spell of Mathematics,Deftones,Ohms,2020-09-25
Pompeji,Deftones,Ohms,2020-09-25
This Link Is Dead,Deftones,Ohms,2020-09-25
Radiant City,Deftones,Ohms,2020-09-25
Headless,Deftones,Ohms,2020-09-25
Ohms,Deftones,Ohms,2020-09-25
Prayers / Triangles,Deftones,Gore,2016-04-08
Acid Hologram,Deftones,Gore,2016-04-08
Doomed User,Deftones,Gore,2016-04-08
Geometric Headdress,Deftones,Gore,2016-04-08
Hearts / Wires,Deftones,Gore,2016-04-08
Pittura Infamante,Deftones,Gore,2016-04-08
Xenon,Deftones,Gore,2016-04-08
(L)MIRL,Deftones,Gore,2016-04-08
Gore,Deftones,Gore,2016-04-08
Phantom Bride,Deftones,Gore,2016-04-08
Rubicon,Deftones,Gore,2016-04-08
Swerve City,Deftones,Koi No Yokan,2012-11-09
Romantic Dreams,Deftones,Koi No Yokan,2012-11-09
Leathers,Deftones,Koi No Yokan,2012-11-09
Poltergeist,Deftones,Koi No Yokan,2012-11-09
Entombed,Deftones,Koi No Yokan,2012-11-09
Graphic Nature,Deftones,Koi No Yokan,2012-11-09
Tempest,Deftones,Koi No Yokan,2012-11-09
Gauze,Deftones,Koi No Yokan,2012-11-09
Rosemary,Deftones,Koi No Yokan,2012-11-09
Goon Squad,Deftones,Koi No Yokan,2012-11-09
What Happened to You?,Deftones,Koi No Yokan,2012-11-09
JB2 RADIO,Travis Scott,JACKBOYS 2,2025-07-13
CHAMPAIN & VACAY,Travis Scott,JACKBOYS 2,2025-07-13
2000 EXCURSION,Travis Scott,JACKBOYS 2,2025-07-13
KICK OUT,Travis Scott,JACKBOYS 2,2025-07-13
DUMBO,Travis Scott,JACKBOYS 2,2025-07-13
MM3,Travis Scott,JACKBOYS 2,2025-07-13
VELOUR,Travis Scott,JACKBOYS 2,2025-07-13
CONTEST,Travis Scott,JACKBOYS 2,2025-07-13
ILMB,Travis Scott,JACKBOYS 2,2025-07-13
WHERE WAS YOU,Travis Scott,JACKBOYS 2,2025-07-13
NO COMMENTS,Travis Scott,JACKBOYS 2,2025-07-13
BEEP BEEP,Travis Scott,JACKBOYS 2,2025-07-13
PBT,Travis Scott,JACKBOYS 2,2025-07-13
SHYNE,Travis Scott,JACKBOYS 2,2025-07-13
OUTSIDE,Travis Scott,JACKBOYS 2,2025-07-13
CANT STOP,Travis Scott,JACKBOYS 2,2025-07-13
FLORIDA FLOW,Travis Scott,JACKBOYS 2,2025-07-13
HYAENA,Travis Scott,UTOPIA,2023-07-28
THANK GOD,Travis Scott,UTOPIA,2023-07-28
MODERN JAM (feat. Teezo Touchdown),Travis Scott,UTOPIA,2023-07-28
MY EYES,Travis Scott,UTOPIA,2023-07-28
GOD'S COUNTRY,Travis Scott,UTOPIA,2023-07-28
SIRENS,Travis Scott,UTOPIA,2023-07-28
MELTDOWN (feat. Drake),Travis Scott,UTOPIA,2023-07-28
FE!N (feat. Playboi Carti),Travis Scott,UTOPIA,2023-07-28
DELRESTO (ECHOES) (feat. Beyoncé),Travis Scott,UTOPIA,2023-07-28
I KNOW ?,Travis Scott,UTOPIA,2023-07-28
TOPIA TWINS (feat. Rob49 & 21 Savage),Travis Scott,UTOPIA,2023-07-28
CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),Travis Scott,UTOPIA,2023-07-28
PARASAIL (feat. Yung Lean & Dave Chappelle),Travis Scott,UTOPIA,2023-07-28
SKITZO (feat. Young Thug),Travis Scott,UTOPIA,2023-07-28
LOST FOREVER (feat. Westside Gunn),Travis Scott,UTOPIA,2023-07-28
LOOOVE (feat. Kid Cudi),Travis Scott,UTOPIA,2023-07-28
K-POP (feat. Bad Bunny & The Weeknd),Travis Scott,UTOPIA,2023-07-28
TELEKINESIS (feat. SZA & Future),Travis Scott,UTOPIA,2023-07-28
TIL FURTHER NOTICE (feat. James Blake & 21 Savage),Travis Scott,UTOPIA,2023-07-28
HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,JACKBOYS,2019-12-27
JACKBOYS,Travis Scott,JACKBOYS,2019-12-27
GANG GANG,Travis Scott,JACKBOYS,2019-12-27
HAD ENOUGH (feat. Quavo & Offset),Travis Scott,JACKBOYS,2019-12-27
OUT WEST (feat. Young Thug),Travis Scott,JACKBOYS,2019-12-27
WHAT TO DO? (feat. Don Toliver),Travis Scott,JACKBOYS,2019-12-27
GATTI,Travis Scott,JACKBOYS,2019-12-27
STARGAZING,Travis Scott,ASTROWORLD,2018-08-03
CAROUSEL,Travis Scott,ASTROWORLD,2018-08-03
SICKO MODE,Travis Scott,ASTROWORLD,2018-08-03
R.I.P. SCREW,Travis Scott,ASTROWORLD,2018-08-03
STOP TRYING TO BE GOD,Travis Scott,ASTROWORLD,2018-08-03
NO BYSTANDERS,Travis Scott,ASTROWORLD,2018-08-03
SKELETONS,Travis Scott,ASTROWORLD,2018-08-03
WAKE UP,Travis Scott,ASTROWORLD,2018-08-03
5% TINT,Travis Scott,ASTROWORLD,2018-08-03
NC-17,Travis Scott,ASTROWORLD,2018-08-03
ASTROTHUNDER,Travis Scott,ASTROWORLD,2018-08-03
YOSEMITE,Travis Scott,ASTROWORLD,2018-08-03
CAN'T SAY,Travis Scott,ASTROWORLD,2018-08-03
WHO? WHAT!,Travis Scott,ASTROWORLD,2018-08-03
BUTTERFLY EFFECT,Travis Scott,ASTROWORLD,2018-08-03
HOUSTONFORNICATION,Travis Scott,ASTROWORLD,2018-08-03
COFFEE BEAN,Travis Scott,ASTROWORLD,2018-08-03
Modern Slavery,Travis Scott,"Huncho Jack, Jack Huncho",2017-12-21
Black & Chinese,Travis Scott,"Huncho Jack, Jack Huncho",2017-12-21
Eye 2 Eye,Travis Scott,"Huncho Jack, Jack Huncho",2017-12-21
Motorcycle Patches,Travis Scott,"Huncho Jack, Jack Huncho",2017-12-21
Huncho Jack,Travis Scott,"Huncho Jack, Jack Huncho",2017-12-21
Saint,Travis Scott,"Huncho Jack, Jack Huncho",2017-12-21
Go,Travis Scott,"Huncho Jack, Jack Huncho",2017-12-21
Dubai Shit,Travis Scott,"Huncho Jack, Jack Huncho",2017-12-21
Saint Laurent Mask,Travis Scott,"Huncho Jack, Jack Huncho",2017-12-21
Moon Rock,Travis Scott,"Huncho Jack, Jack Huncho",2017-12-21
How U Feel,Travis Scott,"Huncho Jack, Jack Huncho",2017-12-21
Where U From,Travis Scott,"Huncho Jack, Jack Huncho",2017-12-21
Best Man,Travis Scott,"Huncho Jack, Jack Huncho",2017-12-21
From Zero (Intro),Linkin Park,From Zero (Deluxe Edition),2025-05-16
The Emptiness Machine,Linkin Park,From Zero (Deluxe Edition),2025-05-16
Cut the Bridge,Linkin Park,From Zero (Deluxe Edition),2025-05-16
Heavy Is the Crown,Linkin Park,From Zero (Deluxe Edition),2025-05-16
