work_mode,burnout_score
Remote,10.0
Hybrid,7.0
On-site,8.5
Remote,10.0
Hybrid,5.4
Remote,7.4
Hybrid,3.8
Hybrid,3.9
Hybrid,2.2
Hybrid,4.0
Remote,10.0
Remote,6.0
Remote,4.7
Remote,5.0
Hybrid,10.0
Hybrid,3.9
Hybrid,3.4
Remote,10.0
Hybrid,6.7
Remote,1.4
On-site,6.0
Remote,5.3
Remote,6.3
On-site,6.4
Hybrid,5.3
Hybrid,8.2
On-site,0.3
Hybrid,10.0
Remote,6.8
Remote,4.9
Hybrid,6.5
On-site,4.2
On-site,6.9
Hybrid,5.6
Remote,7.4
On-site,8.2
Remote,4.3
Hybrid,4.5
Hybrid,4.2
On-site,6.5
Hybrid,6.0
Hybrid,6.8
Hybrid,3.1
Remote,8.4
On-site,3.3
On-site,5.8
Hybrid,5.6
Hybrid,10.0
Remote,6.5
On-site,0.7
Hybrid,6.2
Hybrid,8.1
Hybrid,4.8
On-site,4.4
Remote,8.4
Hybrid,6.0
Hybrid,8.3
Remote,2.2
On-site,8.1
Hybrid,2.6
Hybrid,1.9
On-site,0.0
Remote,4.8
Hybrid,7.0
Remote,2.8
Remote,7.6
On-site,3.7
On-site,6.3
Hybrid,5.7
On-site,8.5
Remote,8.8
Remote,4.4
Remote,1.4
Remote,5.7
Remote,4.7
Hybrid,4.3
Remote,8.9
Hybrid,7.4
Remote,5.8
Hybrid,5.9
On-site,4.9
Hybrid,10.0
On-site,8.8
Hybrid,9.5
Remote,6.4
On-site,2.3
Hybrid,4.8
On-site,2.8
Remote,9.1
Hybrid,2.9
Remote,8.9
On-site,8.9
On-site,5.0
On-site,3.3
Hybrid,7.0
Hybrid,7.9
On-site,3.0
Remote,6.9
Remote,5.1
Hybrid,5.5
Hybrid,10.0
Hybrid,3.9
Hybrid,6.9
Remote,1.7
Hybrid,8.5
Hybrid,6.6
Hybrid,0.2
Hybrid,6.9
Hybrid,9.2
On-site,3.2
Remote,3.5
Remote,4.2
Remote,7.9
Hybrid,8.3
Hybrid,8.8
On-site,3.4
Remote,6.4
Remote,2.0
On-site,6.4
Remote,4.4
Hybrid,1.4
Hybrid,3.2
Remote,2.5
Remote,6.6
Remote,5.2
Remote,4.8
Hybrid,2.3
On-site,6.2
Remote,4.5
Hybrid,3.7
On-site,5.7
Remote,4.2
Hybrid,3.8
Hybrid,6.8
Remote,2.4
Remote,7.2
Hybrid,5.4
Hybrid,5.4
Hybrid,8.2
Remote,3.5
Hybrid,0.2
Hybrid,6.9
On-site,4.8
Remote,3.9
Remote,1.8
