variavel,age,years_experience,years_at_company,salary_usd,work_hours_per_week,meetings_per_day,team_size,sleep_hours_per_night,exercise_days_per_week,vacation_days_taken,manager_support_score,work_life_balance_score,job_satisfaction_score,social_support_score,deadline_pressure_score,autonomy_score,stress_score,burnout_score,phq9_score,gad7_score,therapy_access,uses_therapy,ai_tools_daily,seeks_mental_health_support,job_change_intention
age,1.0,0.972792,0.002691,0.001283,0.004106,0.001139,-7e-06,0.003765,0.007988,0.003434,-0.004768,0.004444,-0.001133,0.002328,0.000243,0.003701,-0.001503,-0.002619,-0.002496,-0.001276,-0.002267,-0.001325,0.005934,-0.00276,-0.000767
years_experience,0.972792,1.0,0.002939,0.001682,0.003825,0.000344,-3.9e-05,0.003027,0.007041,0.003412,-0.00442,0.004625,-0.00091,0.002996,0.001609,0.003412,-0.00141,-0.002742,-0.0018,-0.000697,-0.002504,-0.001179,0.006153,-0.002618,-0.000224
years_at_company,0.002691,0.002939,1.0,-0.005711,-0.001678,-0.002469,-0.004253,-0.007566,0.001139,0.003781,0.006851,0.005235,-0.000759,-0.003827,-0.000371,0.004312,-0.003011,-0.001618,-0.002644,-0.000565,-0.00141,-0.002915,-0.002791,-0.002711,0.005174
salary_usd,0.001283,0.001682,-0.005711,1.0,0.145491,0.223219,0.093621,-0.001603,-0.000997,-0.004989,0.005209,0.001087,0.378382,0.001992,-0.000718,-0.001152,0.170794,0.162126,0.108874,0.105917,0.006177,0.009127,-0.004485,0.038306,-0.049524
work_hours_per_week,0.004106,0.003825,-0.001678,0.145491,1.0,0.189173,0.00041,0.006383,-0.002077,0.000713,0.000152,0.003059,0.052892,0.002284,0.000989,0.00156,0.374966,0.47405,0.309722,0.304258,-0.000218,0.003019,-0.004119,0.106304,0.11281
meetings_per_day,0.001139,0.000344,-0.002469,0.223219,0.189173,1.0,0.003443,-0.001148,-0.000964,-0.002629,0.001173,-0.004121,0.078871,-0.004183,2.6e-05,0.003798,0.610844,0.455603,0.299863,0.294439,0.004363,0.003438,0.001625,0.109123,0.104207
team_size,-7e-06,-3.9e-05,-0.004253,0.093621,0.00041,0.003443,1.0,-0.000326,-0.000369,0.000419,-0.002098,0.003418,0.029432,0.001615,-0.00222,-0.004035,0.000261,0.001238,-0.003352,-0.002008,-0.002796,-0.002508,-0.006144,-0.002901,-0.007447
sleep_hours_per_night,0.003765,0.003027,-0.007566,-0.001603,0.006383,-0.001148,-0.000326,1.0,0.00129,-0.000212,-0.00201,0.000685,0.001094,-0.002123,-0.001833,-0.002237,-0.231635,-0.338268,-0.21599,-0.214834,0.003307,-0.002347,-0.004128,-0.076548,-0.090988
exercise_days_per_week,0.007988,0.007041,0.001139,-0.000997,-0.002077,-0.000964,-0.000369,0.00129,1.0,0.001268,-0.000646,0.002361,0.001982,0.002494,0.002139,-0.000709,-0.141053,-0.206069,-0.223005,-0.22153,-0.000153,0.002717,0.003061,-0.053072,-0.060091
vacation_days_taken,0.003434,0.003412,0.003781,-0.004989,0.000713,-0.002629,0.000419,-0.000212,0.001268,1.0,-0.003386,-0.002507,-0.002027,-0.000491,-0.001448,0.000722,-0.191458,-0.279164,-0.182346,-0.174346,-0.003127,-0.002546,0.0033,-0.068762,-0.072083
manager_support_score,-0.004768,-0.00442,0.006851,0.005209,0.000152,0.001173,-0.002098,-0.00201,-0.000646,-0.003386,1.0,-0.005168,-0.000619,-0.000954,-0.000282,0.003764,-0.113131,-0.168501,-0.106737,-0.270401,-0.005533,-0.003209,-0.004253,-0.037397,-0.05248
