stress_score,burnout_score,work_hours_per_week,sleep_hours_per_night,work_mode
6.7,3.6,47,6.7,On-site
9.1,7.8,45,6.1,Remote
10.0,7.7,56,6.3,Hybrid
8.9,5.6,43,5.4,On-site
5.6,4.1,41,5.4,Hybrid
6.7,5.5,53,5.2,Remote
8.5,5.0,51,7.6,Hybrid
5.8,3.8,46,6.9,Remote
10.0,8.7,43,6.7,Remote
6.4,3.2,41,6.5,Hybrid
8.2,7.1,54,5.5,Hybrid
7.6,4.6,48,6.2,On-site
3.8,3.5,46,6.5,Remote
6.6,5.1,46,6.7,On-site
10.0,10.0,48,5.2,Hybrid
10.0,8.2,46,4.2,Hybrid
6.7,8.0,47,4.9,On-site
6.8,6.6,52,5.4,Remote
4.2,4.6,50,5.6,Hybrid
8.3,4.7,51,5.8,On-site
10.0,7.7,45,5.7,Remote
5.8,3.4,45,5.5,On-site
8.0,10.0,56,5.7,Hybrid
10.0,8.9,53,6.4,Remote
8.8,6.6,52,8.1,Remote
8.1,7.5,44,6.5,On-site
8.7,4.6,44,6.2,Remote
7.6,7.1,48,6.3,Remote
5.6,3.2,38,5.5,Remote
9.1,9.6,47,5.6,Hybrid
6.8,5.1,44,4.9,On-site
9.3,9.8,55,6.5,On-site
5.4,3.6,49,6.6,Hybrid
2.8,0.2,36,7.4,Remote
5.7,4.8,42,4.7,On-site
5.4,4.1,46,5.9,On-site
10.0,10.0,50,3.7,Remote
3.9,5.2,48,6.9,Hybrid
6.5,5.6,48,5.8,Remote
10.0,10.0,49,4.5,Remote
8.3,4.0,46,8.1,Remote
8.8,7.3,55,4.6,Hybrid
7.5,5.7,50,7.3,Remote
5.7,3.9,50,5.8,Remote
8.0,6.8,38,4.9,Hybrid
8.7,5.8,53,6.3,Hybrid
6.1,4.9,50,6.2,Remote
5.9,0.8,39,6.9,Hybrid
5.5,2.8,43,6.2,Hybrid
10.0,7.1,44,5.1,Remote
6.4,5.4,45,5.2,Hybrid
9.4,10.0,51,5.7,Hybrid
5.3,3.7,43,5.8,On-site
9.3,8.5,60,7.8,On-site
6.3,4.3,44,6.6,Remote
9.8,10.0,51,5.4,Hybrid
6.4,6.2,47,6.0,Hybrid
7.8,6.8,50,4.1,Hybrid
2.4,0.0,42,7.8,Remote
8.4,6.6,39,3.9,Remote
4.0,4.6,49,6.2,Remote
8.0,2.4,51,6.2,Hybrid
8.6,4.1,53,5.8,On-site
10.0,10.0,60,6.4,Hybrid
4.1,0.0,54,7.3,Remote
9.2,7.3,50,4.7,Remote
9.1,4.4,35,5.5,On-site
5.7,6.3,59,5.7,Remote
8.8,7.2,51,5.5,Remote
3.4,3.8,49,6.7,Remote
7.3,7.4,49,7.3,On-site
5.3,5.4,50,5.1,On-site
9.0,7.0,45,6.1,Remote
7.5,5.5,52,6.8,Hybrid
5.4,5.5,52,4.9,Remote
6.0,5.6,49,4.7,Remote
5.9,2.3,49,7.6,Hybrid
10.0,9.6,49,4.6,Hybrid
3.2,2.6,54,6.5,Hybrid
6.9,6.4,50,6.4,Remote
6.9,3.4,50,8.2,Hybrid
3.4,4.3,47,6.5,Hybrid
2.6,0.0,37,7.2,On-site
7.4,4.9,51,6.7,Hybrid
4.5,1.8,47,7.1,Hybrid
4.8,3.1,46,8.2,Hybrid
10.0,10.0,53,5.1,Remote
8.0,6.8,50,6.1,On-site
6.9,3.5,43,4.9,On-site
2.7,2.9,45,4.2,Remote
7.3,10.0,41,4.5,Remote
6.9,5.3,51,6.1,Remote
2.6,0.0,42,5.9,Hybrid
1.0,0.0,44,7.6,Hybrid
9.0,3.7,35,5.7,Hybrid
10.0,8.3,54,6.0,Hybrid
10.0,10.0,48,4.1,On-site
7.5,7.9,50,5.5,Remote
4.5,1.7,44,6.9,Hybrid
4.8,1.1,37,5.2,On-site
3.2,0.4,44,7.3,Hybrid
5.3,5.8,47,5.6,Hybrid
10.0,10.0,46,4.6,Hybrid
7.6,5.7,44,5.8,On-site
7.1,5.0,46,5.8,Remote
10.0,7.5,50,5.1,Hybrid
5.0,0.2,41,7.2,Remote
6.3,1.8,49,6.6,On-site
4.3,2.7,43,6.6,Remote
5.1,3.0,38,6.7,Remote
10.0,7.2,56,8.1,Hybrid
6.6,3.7,49,8.3,On-site
4.4,0.2,37,7.2,Remote
7.5,8.5,50,6.8,Remote
9.7,8.3,49,6.9,Remote
9.1,9.0,56,6.4,Hybrid
6.0,4.0,46,6.2,Remote
8.5,5.4,44,6.2,Remote
2.5,0.2,42,6.8,Hybrid
5.5,3.0,47,7.1,Hybrid
9.9,10.0,61,5.0,Hybrid
10.0,10.0,49,6.1,Remote
6.1,2.5,43,6.6,Hybrid
9.1,7.6,55,5.8,Hybrid
8.1,8.8,51,5.2,Hybrid
4.6,0.0,35,7.5,Remote
10.0,10.0,46,3.0,Remote
3.9,1.2,48,7.7,Remote
9.1,8.5,53,5.7,Hybrid
8.3,3.8,47,6.0,Remote
5.8,2.1,40,5.7,Hybrid
5.7,2.4,40,6.3,Hybrid
9.6,9.8,52,5.6,Hybrid
6.3,7.3,45,5.5,Hybrid
7.9,4.7,46,7.0,Hybrid
7.2,7.0,46,7.4,Remote
7.6,7.5,51,5.6,On-site
3.2,0.7,42,5.6,Remote
8.3,7.7,53,7.1,On-site
7.2,5.0,44,6.6,Hybrid
5.4,5.2,47,5.1,Hybrid
5.1,2.5,52,4.9,Remote
9.8,7.0,47,6.4,Hybrid
7.8,4.7,50,7.0,Hybrid
8.3,8.4,48,6.4,On-site
4.5,0.5,37,6.1,Hybrid
7.0,6.5,50,4.5,Hybrid
8.2,5.9,50,7.4,Remote
9.6,5.9,36,5.6,Hybrid
5.1,3.4,43,5.0,Hybrid
9.2,7.7,53,5.4,On-site
9.3,9.1,54,6.0,On-site
9.2,7.0,46,6.0,Remote
7.8,4.8,39,4.3,On-site
7.1,6.7,49,5.8,On-site
5.7,5.8,44,6.2,On-site
1.0,0.2,35,5.4,Hybrid
8.5,5.8,47,5.8,Hybrid
3.7,1.7,42,6.9,Remote
9.2,6.1,50,6.3,Remote
5.1,2.0,51,7.7,Remote
3.1,0.8,51,7.6,Remote
5.9,4.6,48,6.1,On-site
9.4,6.5,52,6.7,Remote
