feature,importance
numeric__work_hours_per_week,0.1423196931371432
numeric__meetings_per_day,0.12352218912871625
numeric__sleep_hours_per_night,0.10888523218909138
numeric__vacation_days_taken,0.07872254549463521
numeric__social_support_score,0.06421461445256642
numeric__manager_support_score,0.0493493318642453
numeric__deadline_pressure_score,0.04267004076695607
numeric__exercise_days_per_week,0.040466547723577405
numeric__salary_usd,0.035340773177370194
numeric__autonomy_score,0.035052246043576346
categorical__seniority_level_Lead,0.029922404915133212
numeric__job_satisfaction_score,0.02892137983802262
numeric__work_life_balance_score,0.02888818608488593
numeric__years_at_company,0.028316496473189685
numeric__team_size,0.02595525535321075
numeric__years_experience,0.023989999923616268
categorical__seniority_level_Manager,0.02374101287627725
categorical__seniority_level_Mid,0.007670962273036479
categorical__seniority_level_Senior,0.007113514192966049
categorical__work_mode_Hybrid,0.005307344520276591
categorical__seniority_level_Junior,0.005042840284504302
categorical__work_mode_Remote,0.004947888291772486
binary__therapy_access,0.004853917302503219
binary__ai_tools_daily,0.004836289590244196
categorical__company_size_Mid (201-1000),0.003792795902936854
categorical__work_mode_On-site,0.0037377516587232687
categorical__company_size_Large (1001-5000),0.0032961281738835054
binary__uses_therapy,0.0031645950950113517
categorical__industry_SaaS / Cloud,0.003005786856043503
categorical__job_role_Software Engineer,0.0029866729330002197
categorical__company_size_Small (51-200),0.0027115935235529
categorical__company_size_Startup (1-50),0.002680347996030008
categorical__industry_Fintech,0.002281213133383912
categorical__company_size_Enterprise (5000+),0.001955062214604748
categorical__industry_AI / ML Startup,0.0018911906307640918
categorical__industry_E-commerce,0.001679345346065462
categorical__job_role_Data Scientist,0.0016393892227686841
categorical__seniority_level_Principal,0.0014710426265320674
categorical__industry_Healthcare Tech,0.0013987201521086575
categorical__job_role_ML Engineer,0.0013449104303988595
categorical__job_role_Product Manager,0.0010691558215667023
categorical__industry_Cybersecurity,0.0010339033705733577
categorical__job_role_Frontend Developer,0.0010209942731057478
categorical__job_role_Backend Developer,0.0010142929980888873
categorical__job_role_Data Analyst,0.0010060301955506286
categorical__job_role_DevOps Engineer,0.0009918699452331316
categorical__industry_Consulting,0.0009096326907303792
categorical__job_role_Full Stack Developer,0.000863896763322894
categorical__industry_Enterprise Software,0.0007521805877580608
categorical__industry_Gaming,0.0007455205325210097
categorical__industry_Social Media / AdTech,0.0004201533168368315
categorical__job_role_Cybersecurity Engineer,0.00041337715773377703
categorical__job_role_Cloud Engineer,0.0003662723690754511
categorical__job_role_QA Engineer,0.00030546818457822796
