job_role,seniority_level,years_experience,years_at_company,company_size,industry,work_mode,salary_usd,work_hours_per_week,meetings_per_day,team_size,sleep_hours_per_night,exercise_days_per_week,vacation_days_taken,therapy_access,uses_therapy,ai_tools_daily,manager_support_score,work_life_balance_score,job_satisfaction_score,social_support_score,deadline_pressure_score,autonomy_score
Data Scientist,Mid,14,1.6,Enterprise (5000+),Healthcare Tech,On-site,94271,41,5.6,30,6.2,3,11,0,0,1,4.1,5.5,7.3,7.1,8.5,6.4
ML Engineer,Principal,7,6.6,Mid (201-1000),SaaS / Cloud,On-site,56728,47,4.2,8,5.8,4,8,0,0,0,8.3,7.9,3.6,6.3,5.8,4.8
ML Engineer,Senior,6,0.1,Mid (201-1000),Fintech,Hybrid,134044,50,1.1,12,5.0,5,13,1,1,1,6.6,3.5,5.5,4.4,7.5,2.6
Product Manager,Mid,8,1.6,Startup (1-50),Consulting,Hybrid,57009,46,3.4,7,7.3,2,3,0,0,0,4.2,8.2,1.0,3.5,5.2,2.7
Product Manager,Manager,18,10.0,Enterprise (5000+),AI / ML Startup,Hybrid,55756,47,3.7,36,6.1,6,0,1,0,1,3.3,4.3,3.1,6.3,8.8,5.1
ML Engineer,Junior,11,2.8,Mid (201-1000),AI / ML Startup,Hybrid,59253,56,6.8,25,5.1,5,20,1,0,0,4.2,5.9,6.4,5.1,9.2,6.2
Software Engineer,Mid,15,1.8,Mid (201-1000),Gaming,On-site,40000,53,2.2,19,5.7,2,13,1,0,1,5.4,6.7,4.4,8.6,6.3,6.7
Data Scientist,Senior,3,0.9,Large (1001-5000),AI / ML Startup,On-site,143929,49,4.5,9,5.9,1,22,0,0,1,8.3,6.6,8.2,4.6,6.9,5.7
Product Manager,Mid,5,1.6,Enterprise (5000+),E-commerce,On-site,108175,46,6.2,55,6.8,3,12,0,0,0,5.2,7.5,4.3,7.1,6.4,10.0
Software Engineer,Lead,10,0.5,Small (51-200),SaaS / Cloud,Hybrid,98585,49,4.0,28,5.9,3,4,0,0,1,6.4,5.3,2.0,3.6,5.5,6.1
Software Engineer,Junior,24,1.2,Startup (1-50),AI / ML Startup,Remote,52092,46,3.6,5,6.4,4,8,1,1,1,7.0,6.3,1.0,1.0,7.6,8.6
ML Engineer,Lead,18,0.8,Large (1001-5000),E-commerce,On-site,164851,56,7.2,10,6.2,4,0,1,0,1,5.8,7.2,5.6,6.9,2.8,3.3
Data Scientist,Senior,16,1.4,Large (1001-5000),SaaS / Cloud,On-site,40000,35,0.0,20,7.4,3,9,0,0,1,3.8,4.7,2.7,1.3,7.6,4.3
Backend Developer,Senior,7,2.3,Startup (1-50),Social Media / AdTech,Hybrid,40000,45,1.5,5,5.3,2,4,0,0,1,6.0,5.1,4.5,5.6,3.9,7.1
Software Engineer,Junior,7,2.9,Small (51-200),E-commerce,Hybrid,40000,60,5.3,17,5.3,3,7,0,0,1,5.7,7.1,3.2,4.3,7.9,8.0
DevOps Engineer,Mid,0,3.9,Enterprise (5000+),Cybersecurity,Remote,83978,46,6.3,40,6.2,2,6,0,0,1,5.3,3.6,7.4,5.3,2.8,4.0
Software Engineer,Manager,0,0.4,Mid (201-1000),Enterprise Software,Hybrid,184114,57,7.3,28,8.0,2,17,0,0,1,1.7,5.7,7.9,4.6,6.7,6.4
