coluna,uso
job_role,preditor_principal
seniority_level,preditor_principal
years_experience,preditor_principal
years_at_company,preditor_principal
company_size,preditor_principal
industry,preditor_principal
work_mode,preditor_principal
salary_usd,preditor_principal
work_hours_per_week,preditor_principal
meetings_per_day,preditor_principal
team_size,preditor_principal
sleep_hours_per_night,preditor_principal
exercise_days_per_week,preditor_principal
vacation_days_taken,preditor_principal
therapy_access,preditor_principal
uses_therapy,preditor_principal
ai_tools_daily,preditor_principal
manager_support_score,preditor_principal
work_life_balance_score,preditor_principal
job_satisfaction_score,preditor_principal
social_support_score,preditor_principal
deadline_pressure_score,preditor_principal
autonomy_score,preditor_principal
