variavel_1,variavel_2,correlacao
age,years_experience,0.972792
years_experience,age,0.972792
stress_score,burnout_score,0.853803
burnout_score,stress_score,0.853803
gad7_score,burnout_score,0.716728
burnout_score,gad7_score,0.716728
phq9_score,burnout_score,0.716383
burnout_score,phq9_score,0.716383
gad7_score,stress_score,0.634379
stress_score,gad7_score,0.634379
stress_score,meetings_per_day,0.610844
meetings_per_day,stress_score,0.610844
phq9_score,stress_score,0.600232
stress_score,phq9_score,0.600232
therapy_access,uses_therapy,0.588713
uses_therapy,therapy_access,0.588713
phq9_score,gad7_score,0.536753
gad7_score,phq9_score,0.536753
burnout_score,work_hours_per_week,0.47405
work_hours_per_week,burnout_score,0.47405
meetings_per_day,burnout_score,0.455603
burnout_score,meetings_per_day,0.455603
job_satisfaction_score,salary_usd,0.378382
salary_usd,job_satisfaction_score,0.378382
stress_score,work_hours_per_week,0.374966
work_hours_per_week,stress_score,0.374966
phq9_score,social_support_score,-0.360211
social_support_score,phq9_score,-0.360211
burnout_score,sleep_hours_per_night,-0.338268
sleep_hours_per_night,burnout_score,-0.338268
deadline_pressure_score,stress_score,0.316349
stress_score,deadline_pressure_score,0.316349
phq9_score,work_hours_per_week,0.309722
work_hours_per_week,phq9_score,0.309722
work_hours_per_week,gad7_score,0.304258
gad7_score,work_hours_per_week,0.304258
phq9_score,meetings_per_day,0.299863
meetings_per_day,phq9_score,0.299863
gad7_score,meetings_per_day,0.294439
meetings_per_day,gad7_score,0.294439
vacation_days_taken,burnout_score,-0.279164
burnout_score,vacation_days_taken,-0.279164
gad7_score,deadline_pressure_score,0.273879
deadline_pressure_score,gad7_score,0.273879
manager_support_score,gad7_score,-0.270401
gad7_score,manager_support_score,-0.270401
seeks_mental_health_support,therapy_access,0.266794
therapy_access,seeks_mental_health_support,0.266794
job_change_intention,burnout_score,0.252827
burnout_score,job_change_intention,0.252827
uses_therapy,seeks_mental_health_support,0.237831
seeks_mental_health_support,uses_therapy,0.237831
sleep_hours_per_night,stress_score,-0.231635
stress_score,sleep_hours_per_night,-0.231635
salary_usd,meetings_per_day,0.223219
meetings_per_day,salary_usd,0.223219
exercise_days_per_week,phq9_score,-0.223005
phq9_score,exercise_days_per_week,-0.223005
gad7_score,exercise_days_per_week,-0.22153
exercise_days_per_week,gad7_score,-0.22153
burnout_score,seeks_mental_health_support,0.220514
seeks_mental_health_support,burnout_score,0.220514
social_support_score,burnout_score,-0.219937
burnout_score,social_support_score,-0.219937
phq9_score,sleep_hours_per_night,-0.21599
sleep_hours_per_night,phq9_score,-0.21599
sleep_hours_per_night,gad7_score,-0.214834
gad7_score,sleep_hours_per_night,-0.214834
job_change_intention,stress_score,0.213578
stress_score,job_change_intention,0.213578
gad7_score,job_change_intention,0.209108
job_change_intention,gad7_score,0.209108
burnout_score,exercise_days_per_week,-0.206069
exercise_days_per_week,burnout_score,-0.206069
vacation_days_taken,stress_score,-0.191458
stress_score,vacation_days_taken,-0.191458
stress_score,seeks_mental_health_support,0.189891
seeks_mental_health_support,stress_score,0.189891
meetings_per_day,work_hours_per_week,0.189173
work_hours_per_week,meetings_per_day,0.189173
phq9_score,vacation_days_taken,-0.182346
vacation_days_taken,phq9_score,-0.182346
job_change_intention,phq9_score,0.178464
phq9_score,job_change_intention,0.178464
vacation_days_taken,gad7_score,-0.174346
gad7_score,vacation_days_taken,-0.174346
salary_usd,stress_score,0.170794
stress_score,salary_usd,0.170794
burnout_score,manager_support_score,-0.168501
