dimensao,categoria,total_registros,stress_score_medio,burnout_score_medio,satisfacao_media,equilibrio_vida_trabalho_medio,apoio_gestor_medio,horas_semanais_media,sono_medio_horas,burnout_severe_pct,burnout_high_or_severe_pct,busca_suporte_mental_pct,intencao_troca_emprego_pct,usa_terapia_pct,uso_diario_ia_pct
work_mode,Hybrid,39856,7.0156,5.4325,4.8399,5.7981,5.795,47.1188,6.0992,28.9793,48.2286,49.5158,33.5784,14.9413,72.91
work_mode,On-site,25208,6.974,5.2462,4.8245,5.3945,5.8205,47.126,6.1096,26.321,45.6918,48.4965,33.2593,15.4356,73.1593
work_mode,Remote,34936,7.1595,5.4787,4.8364,5.0145,5.8051,47.0714,6.1008,29.743,49.2272,51.0333,29.2964,15.2822,73.0049
country,Australia,6169,7.1014,5.4305,4.9167,5.465,5.8138,47.1773,6.1047,29.3402,47.8035,49.3759,31.0747,14.816,72.8157
country,Brazil,4050,7.0488,5.3522,4.064,5.3771,5.8551,47.1432,6.1102,27.6049,46.642,48.6914,36.6667,15.4568,72.9136
country,Canada,7940,7.0226,5.3931,5.0491,5.4002,5.7795,47.0351,6.0842,28.262,47.4685,49.5466,30.8312,15.5668,73.3627
country,France,2936,7.0483,5.4308,4.6451,5.3912,5.7755,47.0058,6.1022,28.8488,47.8542,51.1921,32.4932,15.7357,73.3311
country,Germany,7099,7.0636,5.4256,4.8653,5.443,5.824,47.0686,6.0925,28.7928,49.1055,50.007,32.5257,15.467,72.5595
country,India,21998,7.0413,5.3747,4.0191,5.4176,5.7819,47.1307,6.1102,28.198,47.6316,50.0182,36.5397,14.7832,73.2839
country,Netherlands,3956,7.0665,5.3781,4.7609,5.4195,5.8735,47.1934,6.1042,28.0081,47.5986,49.545,32.5076,15.5966,72.6744
country,Singapore,3947,7.0224,5.3671,4.7395,5.471,5.8278,46.9681,6.1023,28.7814,47.2257,48.6192,31.847,14.7707,73.2962
country,UK,9939,7.0524,5.4233,5.0141,5.429,5.7934,47.0912,6.1001,28.9466,48.4757,49.3913,31.3714,15.1625,73.116
country,USA,31966,7.0677,5.4155,5.4007,5.4199,5.8099,47.1105,6.1029,28.7462,48.1668,50.0313,28.7493,15.2975,72.8149
job_role,Backend Developer,7996,7.0689,5.4448,4.8087,5.4008,5.7548,47.0975,6.0907,28.8769,48.6618,49.6748,32.6038,14.6073,73.2741
job_role,Cloud Engineer,3917,7.0509,5.3809,4.9294,5.4038,5.8903,47.1011,6.086,28.5678,47.5874,50.9318,30.6357,15.1647,72.5811
job_role,Cybersecurity Engineer,4011,7.0605,5.4001,4.8795,5.4263,5.7812,47.0072,6.0746,28.6961,46.9708,50.7604,30.2418,16.0558,71.9521
job_role,Data Analyst,8028,7.0309,5.3704,4.5789,5.43,5.8338,47.0985,6.1044,27.9397,47.708,49.8007,34.0683,15.421,73.0817
job_role,Data Scientist,12029,7.0482,5.3999,4.9433,5.4525,5.8089,47.099,6.101,28.556,47.7762,50.0873,31.3077,14.7893,73.1649
job_role,DevOps Engineer,7949,7.0469,5.3947,4.8709,5.4126,5.7886,47.138,6.1157,28.318,47.6035,49.2012,32.1172,14.6182,72.072
job_role,Frontend Developer,7970,7.0616,5.4222,4.6876,5.4202,5.7934,47.0832,6.088,28.921,48.3689,50.6399,32.7353,15.345,72.9486
job_role,Full Stack Developer,6907,7.0249,5.3547,4.8603,5.4025,5.7914,47.1019,6.1114,27.9861,47.0103,48.9503,30.9686,15.5494,72.9115
job_role,ML Engineer,10114,7.0523,5.4156,5.0142,5.4132,5.7929,47.1545,6.0999,29.0884,48.0028,49.5748,30.7989,15.5626,71.9893
job_role,Product Manager,7965,7.0815,5.4467,4.9913,5.4482,5.7771,47.1316,6.108,29.0144,48.8889,50.5085,31.8895,14.978,73.9611
job_role,QA Engineer,3034,7.0515,5.4055,4.4596,5.464,5.7987,47.1312,6.0981,28.4773,48.4838,51.2854,33.7838,14.0738,73.8958
