coluna,n,media,mediana,moda,desvio_padrao,variancia,minimo,maximo,q1,q2,q3,iqr,limite_inferior_iqr,limite_superior_iqr,outliers_iqr,outliers_iqr_pct
age,100000,31.3057,31.0,22.0,6.4279,41.3182,22.0,55.0,26.0,31.0,36.0,10.0,11.0,51.0,167,0.167
autonomy_score,100000,5.8365,5.8,6.1,1.8365,3.3727,1.0,10.0,4.6,5.8,7.1,2.5,0.85,10.85,0,0.0
burnout_score,100000,5.4017,5.4,10.0,2.6684,7.1205,0.0,10.0,3.5,5.4,7.4,3.9,-2.35,13.25,0,0.0
deadline_pressure_score,100000,6.3851,6.4,6.5,1.7692,3.1302,1.0,10.0,5.2,6.4,7.6,2.4,1.6,11.2,535,0.535
exercise_days_per_week,100000,2.9687,3.0,3.0,1.7728,3.1427,0.0,7.0,2.0,3.0,4.0,2.0,-1.0,7.0,0,0.0
gad7_score,100000,5.1189,5.0,0.0,4.0075,16.0602,0.0,21.0,2.0,5.0,8.0,6.0,-7.0,17.0,130,0.13
job_satisfaction_score,100000,4.8348,4.8,1.0,1.9208,3.6895,1.0,10.0,3.5,4.8,6.2,2.7,-0.55,10.25,0,0.0
manager_support_score,100000,5.805,5.8,5.8,1.9564,3.8274,1.0,10.0,4.5,5.8,7.2,2.7,0.45,11.25,0,0.0
meetings_per_day,100000,4.1622,4.0,3.7,1.9378,3.7553,0.0,12.0,2.8,4.0,5.4,2.6,-1.1,9.3,653,0.653
phq9_score,100000,6.2719,6.0,0.0,4.9543,24.5448,0.0,27.0,2.0,6.0,10.0,8.0,-10.0,22.0,64,0.064
salary_usd,100000,83285.4902,76630.5,40000.0,39392.5848,1551775739.3195,40000.0,267961.0,46018.25,76630.5,109113.0,63094.75,-48623.875,203755.125,430,0.43
sleep_hours_per_night,100000,6.1024,6.1,6.1,0.9988,0.9976,3.0,10.0,5.4,6.1,6.8,1.4,3.3,8.9,634,0.634
social_support_score,100000,5.384,5.4,5.5,1.8328,3.3591,1.0,10.0,4.1,5.4,6.6,2.5,0.35,10.35,0,0.0
stress_score,100000,7.0554,7.1,10.0,2.1285,4.5306,1.0,10.0,5.5,7.1,8.9,3.4,0.4,14.0,0,0.0
team_size,100000,18.0097,16.0,6.0,12.6075,158.9484,2.0,59.0,8.0,16.0,25.0,17.0,-17.5,50.5,3437,3.437
vacation_days_taken,100000,12.0498,12.0,12.0,5.8785,34.5565,0.0,30.0,8.0,12.0,16.0,8.0,-4.0,28.0,275,0.275
work_hours_per_week,100000,47.1041,47.0,47.0,5.2469,27.53,35.0,72.0,44.0,47.0,51.0,7.0,33.5,61.5,353,0.353
work_life_balance_score,100000,5.4226,5.4,5.3,1.8083,3.27,1.0,10.0,4.2,5.4,6.7,2.5,0.45,10.45,0,0.0
years_at_company,100000,2.4926,1.7,0.1,2.4504,6.0046,0.1,15.0,0.7,1.7,3.5,2.8,-3.5,7.7,4600,4.6
years_experience,100000,9.3437,9.0,0.0,6.4015,40.9798,0.0,25.0,4.0,9.0,14.0,10.0,-11.0,29.0,0,0.0
